review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
7017266b305d4b548aed570f95ac0eaa,8a1a83e825f94be1804f9f9d9b2446f5,4,,,2017-02-12 11:00:00,2017-02-14 11:00:00
fa1bd4519c584ad6bec6e54f51000d79,103b7e12350446b19105b58ff0b166ca,5,,,2017-02-07 15:00:00,2017-02-09 15:00:00
da80682f0fd7452aa5d785fb7eac71e0,8558d8661c744860a4eafc2472328506,4,,,2017-02-01 03:00:00,2017-02-03 03:00:00
a92248956d5040debb9b2ca958338dd2,a36dc3f7d23d47279bf1626dddd0bdd4,5,,,2017-02-06 15:00:00,2017-02-08 15:00:00
500bbd9855454919aec796103f40fc93,c71cee92b79e42a99d9bd609ae011459,5,,,2017-02-26 08:00:00,2017-02-28 08:00:00
7c4be93b6a8c46a48de2e9ef270a983a,e0894c7916c146ef9e5e1e134944ce1d,5,,,2017-03-02 14:00:00,2017-03-04 14:00:00
6db797ca19e649a28ed177d96e4a6c37,778bb86cd7cc4f44923eabccb42f8ad1,5,,,2017-03-07 12:00:00,2017-03-09 12:00:00
e7f2618be8a5447cb5b3951e52ccd41f,d9559b2c2a7e4b9397613673985c547e,5,,,2017-03-06 20:00:00,2017-03-08 20:00:00
c9cd45994f92434993a602ddaedb356a,30689e84fe10491e86dd6fe908f7a84b,2,,,2017-02-06 16:00:00,2017-02-08 16:00:00
c1ccdac7f19e456a8bb8f3aabcd99808,c1b05d1392db42eba9938dad21fd7852,4,,,2017-03-14 08:00:00,2017-03-16 08:00:00
7f4b53a6bbe04337b5b5fdad6deadcfa,0395099c673e41b4890dcd3b9849ccd2,5,,,2017-03-05 20:00:00,2017-03-07 20:00:00
be8cc2d489a145b483b07b020bab5634,098d68d3eee5478e9ee88cd4c414b23a,5,,,2017-03-19 02:00:00,2017-03-21 02:00:00
db801d8594d74911854fc65d73514ce8,b323769639224224aef6e46720fe7cd9,5,,,2017-03-01 01:00:00,2017-03-03 01:00:00
d337195c92594242bec692b83864c375,eb6e5e8f9e0c40869bbe95489f42e9f7,5,,,2017-03-16 05:00:00,2017-03-18 05:00:00
fccbc6ed7d614ea88c04ceb4c0d7e1f4,68bca1ebd9274068bf2db7afebca4c11,3,,,2017-04-11 08:00:00,2017-04-13 08:00:00
