order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
8a1a83e825f94be1804f9f9d9b2446f5,f4969df2ed9d4f1192e7626c2dc54561,delivered,2017-01-18 11:00:00,2017-01-18 15:00:00,2017-01-20 15:00:00,2017-02-11 11:00:00,2017-02-12 11:00:00
103b7e12350446b19105b58ff0b166ca,eb0fd6dbe6b04d77a221ceb793f30537,delivered,2017-01-24 15:00:00,2017-01-25 07:00:00,2017-01-27 07:00:00,2017-02-06 15:00:00,2017-02-06 15:00:00
8558d8661c744860a4eafc2472328506,26115d8e130a4bc59d3f352af1351681,delivered,2017-01-09 03:00:00,2017-01-09 13:00:00,2017-01-13 13:00:00,2017-01-31 03:00:00,2017-02-02 03:00:00
a36dc3f7d23d47279bf1626dddd0bdd4,43e79334ffd94f6b96b3736d68e4826c,delivered,2017-01-15 15:00:00,2017-01-17 03:00:00,2017-01-19 03:00:00,2017-02-05 15:00:00,2017-02-09 15:00:00
c71cee92b79e42a99d9bd609ae011459,573b164daa4f48939b966ab9a1fa4496,delivered,2017-02-04 08:00:00,2017-02-05 17:00:00,2017-02-08 17:00:00,2017-02-25 08:00:00,2017-02-27 08:00:00
e0894c7916c146ef9e5e1e134944ce1d,18112a2b05e4430096b58a02445c385d,delivered,2017-02-06 14:00:00,2017-02-08 02:00:00,2017-02-12 02:00:00,2017-03-01 14:00:00,2017-03-03 14:00:00
778bb86cd7cc4f44923eabccb42f8ad1,05e2ae7a0841485cbfd8e754fdcfae6f,delivered,2017-02-20 12:00:00,2017-02-21 15:00:00,2017-02-22 15:00:00,2017-03-06 12:00:00,2017-03-09 12:00:00
d9559b2c2a7e4b9397613673985c547e,a0878af8a16f45ea88bea06bde8a2883,delivered,2017-02-23 20:00:00,2017-02-23 23:00:00,2017-02-25 23:00:00,2017-03-05 20:00:00,2017-03-09 20:00:00
30689e84fe10491e86dd6fe908f7a84b,81b1318c51ee4d87bc75aa38d5494342,canceled,2017-02-05 16:00:00,2017-02-06 02:00:00,,,2017-03-01 16:00:00
c1b05d1392db42eba9938dad21fd7852,5db4f8b21e36437c82a42b0d94246622,delivered,2017-02-27 08:00:00,2017-02-28 10:00:00,2017-03-01 10:00:00,2017-03-13 08:00:00,2017-03-19 08:00:00
0395099c673e41b4890dcd3b9849ccd2,1d38afe3bd064488ad1d5da3fecf67e0,delivered,2017-02-12 20:00:00,2017-02-12 23:00:00,2017-02-13 23:00:00,2017-03-04 20:00:00,2017-03-09 20:00:00
098d68d3eee5478e9ee88cd4c414b23a,6566740d745343a195dd1753f8d9bad8,delivered,2017-02-25 02:00:00,2017-02-25 09:00:00,2017-03-01 09:00:00,2017-03-18 02:00:00,2017-03-20 02:00:00
b323769639224224aef6e46720fe7cd9,ca83350441184e26ad025097805f319d,delivered,2017-02-12 01:00:00,2017-02-13 05:00:00,2017-02-15 05:00:00,2017-02-28 01:00:00,2017-03-03 01:00:00
eb6e5e8f9e0c40869bbe95489f42e9f7,52cad88177824a7bbf57bf6468379065,delivered,2017-03-07 05:00:00,2017-03-08 06:00:00,2017-03-10 06:00:00,2017-03-15 05:00:00,2017-03-19 05:00:00
68bca1ebd9274068bf2db7afebca4c11,0ab7d33e4f6242149ca9b58c00b1fb97,delivered,2017-03-22 08:00:00,2017-03-22 09:00:00,2017-03-26 09:00:00,2017-04-10 08:00:00,2017-04-15 08:00:00
6ad80edef87d479e8c383760b57fd05f,2ad80ba9846347d482a6d7afbd84246c,delivered,2017-03-16 11:00:00,2017-03-17 15:00:00,2017-03-20 15:00:00,2017-04-02 11:00:00,2017-04-04 11:00:00
03dfd105e4ef4d90995d2d76489f8c87,5c6689511dcb46d1a2f1235a99df5860,delivered,2017-04-05 07:00:00,2017-04-06 02:00:00,2017-04-09 02:00:00,2017-05-11 07:00:00,2017-04-27 07:00:00
9c8e8e61e3064d90a3c8653661aa781a,96cc61664159479aa0c5f955a0acaea1,delivered,2017-04-02 18:00:00,2017-04-04 02:00:00,2017-04-07 02:00:00,2017-04-12 18:00:00,2017-04-13 18:00:00
228839f36d434508ae7d59a81d19a0dd,e262b18a962043a08ec9f6ba8d14c855,delivered,2017-04-22 06:00:00,2017-04-22 15:00:00,2017-04-23 15:00:00,2017-05-05 06:00:00,2017-05-10 06:00:00
0198a00bbf2648348b2ce935999461b7,a72d658dbcda4c80a8ee94fb8960e323,delivered,2017-05-03 18:00:00,2017-05-04 00:00:00,2017-05-07 00:00:00,2017-05-21 18:00:00,2017-05-24 18:00:00
87df9d9875b647a7be13760200358080,23233c0ab5b54699b730ea6fdb809c5a,delivered,2017-05-27 17:00:00,2017-05-28 11:00:00,2017-05-30 11:00:00,2017-06-11 17:00:00,2017-06-17 17:00:00
1187f826361240fab529facbf10427e2,b7727d3a29774248b6b92bcdeb024d7c,delivered,2017-05-27 03:00:00,2017-05-27 13:00:00,2017-05-29 13:00:00,2017-06-15 03:00:00,2017-06-20 03:00:00
97584dd434754599a8ff3e0c0e7346c4,da18208fae974ca38a635d609b3cc392,delivered,2017-05-04 12:00:00,2017-05-04 20:00:00,2017-05-08 20:00:00,2017-05-09 12:00:00,2017-05-14 12:00:00
8641d2bdfbbe4be787cacc4b4666e028,936d88350cba400f92c7807aefc3d7de,canceled,2017-06-28 20:00:00,2017-06-29 11:00:00,,,2017-07-19 20:00:00
