order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
8a1a83e825f94be1804f9f9d9b2446f5,1,7ce969a5b2ae4fd4b0f2cabc6453bd8f,93787df1afa5438ba1a692b6f36d9610,2017-01-21 11:00:00,377.36,45.07
103b7e12350446b19105b58ff0b166ca,1,06444aaa06054893a4205e94324ba768,93787df1afa5438ba1a692b6f36d9610,2017-01-27 15:00:00,102.12,13.22
8558d8661c744860a4eafc2472328506,1,ccd39fa721b644ffa5a18384a00477c2,93787df1afa5438ba1a692b6f36d9610,2017-01-12 03:00:00,279.96,19.45
a36dc3f7d23d47279bf1626dddd0bdd4,1,58c6c4e5ab9c43838ad11738b9984d89,93787df1afa5438ba1a692b6f36d9610,2017-01-18 15:00:00,31.11,4.73
c71cee92b79e42a99d9bd609ae011459,1,320362abf5f74714841e3c714b16141c,93787df1afa5438ba1a692b6f36d9610,2017-02-07 08:00:00,416.07,27.21
e0894c7916c146ef9e5e1e134944ce1d,1,e0c8286b26304116bd32734879460156,93787df1afa5438ba1a692b6f36d9610,2017-02-09 14:00:00,302.48,27.09
778bb86cd7cc4f44923eabccb42f8ad1,1,c63279faa941483fa679d2cc59943b21,93787df1afa5438ba1a692b6f36d9610,2017-02-23 12:00:00,344.99,50.15
d9559b2c2a7e4b9397613673985c547e,1,17b108cebc3b4f43b40167e19b5877ad,93787df1afa5438ba1a692b6f36d9610,2017-02-26 20:00:00,281.74,35.84
30689e84fe10491e86dd6fe908f7a84b,1,67b6e676a52448f6962a76d9c2942455,93787df1afa5438ba1a692b6f36d9610,2017-02-08 16:00:00,158.51,14.47
c1b05d1392db42eba9938dad21fd7852,1,e9832e29c09c4b33a29e3de3a0c98fd2,93787df1afa5438ba1a692b6f36d9610,2017-03-02 08:00:00,239.34,19.51
0395099c673e41b4890dcd3b9849ccd2,1,0ced3584cdd142f4b7a32ac4f1287a1d,93787df1afa5438ba1a692b6f36d9610,2017-02-15 20:00:00,39.75,5.58
098d68d3eee5478e9ee88cd4c414b23a,1,ceecd6be9a7f49829cacbcd060618d0c,93787df1afa5438ba1a692b6f36d9610,2017-02-28 02:00:00,110.25,13.07
