customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
f4969df2ed9d4f1192e7626c2dc54561,3938e090300748be9f4e79e225168769,38752,manaus,AM
eb0fd6dbe6b04d77a221ceb793f30537,b323b72fa2d04521bce83deab5dbaa6c,54476,goiania,GO
26115d8e130a4bc59d3f352af1351681,563d9602719e4dd3980959b41237ef95,93459,goiania,GO
43e79334ffd94f6b96b3736d68e4826c,4a84d0499a6343bba7aef85b0f0d3f53,98818,goiania,GO
573b164daa4f48939b966ab9a1fa4496,5f6afa31a1c14584a5489382715cbd59,40132,fortaleza,CE
18112a2b05e4430096b58a02445c385d,7c0e2a463c9a4cba91684a9334df2ad0,25727,cuiaba,MT
05e2ae7a0841485cbfd8e754fdcfae6f,4b508c909e4b4145a9acf63ba10c30b8,50968,fortaleza,CE
a0878af8a16f45ea88bea06bde8a2883,911870f69576433dbbfe11b46628334d,14154,joinville,SC
81b1318c51ee4d87bc75aa38d5494342,3e9bc61aabed401087092e40344984df,86823,salvador,BA
5db4f8b21e36437c82a42b0d94246622,770920cb64e64abd81687d9772200029,70942,recife,PE
1d38afe3bd064488ad1d5da3fecf67e0,3842412c9e3a4a6597876643a5420263,38667,manaus,AM
6566740d745343a195dd1753f8d9bad8,f8a3d1e7730d4f1f842f34ae6d3c9de1,4794,manaus,AM
ca83350441184e26ad025097805f319d,f7e53fdb5ac04379bb7452bb39427b49,90364,vitoria,ES
52cad88177824a7bbf57bf6468379065,19423348bba14a0b946c2fc0c8688a73,31433,uberlandia,MG
0ab7d33e4f6242149ca9b58c00b1fb97,64e47deacc724c1b86d45bfa1d5b6663,21706,goiania,GO
2ad80ba9846347d482a6d7afbd84246c,c21e2401efcf4cba9c496808c8b619dc,51422,caxias do sul,RS
5c6689511dcb46d1a2f1235a99df5860,80c348a8038a46ea9bd174ef32226780,52879,recife,PE
96cc61664159479aa0c5f955a0acaea1,a008745185a349b29132227f7eb46619,47179,vitoria,ES
e262b18a962043a08ec9f6ba8d14c855,a0e7341530fc4e5e8db4121cd31d9e57,41492,campinas,SP
a72d658dbcda4c80a8ee94fb8960e323,e1f62181c6b14182a8bbf8e3fa9256c1,27318,belo horizonte,MG
23233c0ab5b54699b730ea6fdb809c5a,92bbbbc7474e415387e6cfc754b169f2,39684,brasilia,DF
b7727d3a29774248b6b92bcdeb024d7c,e3004eef24b3425fa5e73f1ba9553407,53089,recife,PE
da18208fae974ca38a635d609b3cc392,7f637e15824e4ec9b06f1fcbb3298231,35362,recife,PE
936d88350cba400f92c7807aefc3d7de,ab4700983c684466920797376b3416c2,4280,brasilia,DF
6c44198b724547c4aee5745aa9642fbc,7d4f2162ce9444b7a8bedee620fcaaf4,6943,belo horizonte,MG
19ff79f738fc481fb7d1f687aefddd4d,8172585658b1440f99f9e9e5e9941404,51940,uberlandia,MG
