order_id,payment_sequential,payment_type,payment_installments,payment_value
8a1a83e825f94be1804f9f9d9b2446f5,1,boleto,2,422.43
103b7e12350446b19105b58ff0b166ca,1,credit_card,1,115.34
8558d8661c744860a4eafc2472328506,1,voucher,6,299.40999999999997
a36dc3f7d23d47279bf1626dddd0bdd4,1,credit_card,10,35.84
c71cee92b79e42a99d9bd609ae011459,1,credit_card,4,443.28
e0894c7916c146ef9e5e1e134944ce1d,1,credit_card,4,329.57
778bb86cd7cc4f44923eabccb42f8ad1,1,boleto,2,395.14
d9559b2c2a7e4b9397613673985c547e,1,boleto,4,317.58000000000004
30689e84fe10491e86dd6fe908f7a84b,1,credit_card,2,172.98
c1b05d1392db42eba9938dad21fd7852,1,credit_card,1,258.85
0395099c673e41b4890dcd3b9849ccd2,1,credit_card,1,45.33
098d68d3eee5478e9ee88cd4c414b23a,1,credit_card,1,123.32
b323769639224224aef6e46720fe7cd9,1,credit_card,3,260.59999999999997
eb6e5e8f9e0c40869bbe95489f42e9f7,1,credit_card,1,400.15999999999997
68bca1ebd9274068bf2db7afebca4c11,1,credit_card,3,93.52000000000001
6ad80edef87d479e8c383760b57fd05f,1,credit_card,2,454.92
03dfd105e4ef4d90995d2d76489f8c87,1,credit_card,2,47.010000000000005
9c8e8e61e3064d90a3c8653661aa781a,1,credit_card,1,226.66000000000003
228839f36d434508ae7d59a81d19a0dd,1,credit_card,1,300.40999999999997
0198a00bbf2648348b2ce935999461b7,1,credit_card,2,275.7
87df9d9875b647a7be13760200358080,1,credit_card,10,277.45
1187f826361240fab529facbf10427e2,1,credit_card,4,172.57999999999998
97584dd434754599a8ff3e0c0e7346c4,1,credit_card,2,144.92000000000002
8641d2bdfbbe4be787cacc4b4666e028,1,boleto,3,399.45
1b6105a33fe946739ea09993140acc36,1,credit_card,4,75.54
42df6a42eee54ffa83aff5dc01332836,1,credit_card,1,173.91
9610404044e14919972a8ad00641c4f2,1,credit_card,6,405.6
b2d427cc2b6c4a72bc3ef169543ba8f1,1,credit_card,1,301.84999999999997
b3014e1a0d264572b8c26e97d15dccec,1,boleto,3,329.23
